config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,female,middle,avg,10,neutral_stoop_down_R_002__A082,62.12780534,62.12780534,27.766143290000002,27.766143290000002,28.545322365000004,28.545322365000004
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A073,190.03864005,190.03864005,45.249286409999996,45.249286409999996,53.230395855000005,53.230395855000005
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,42.02546115,42.02546115,52.71416674,52.71416674
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A074,131.73425311,131.73425311,40.991215655000005,40.991215655000005,52.88773161500001,52.88773161500001
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A075,169.78936891,169.78936891,37.653004495,37.653004495,51.75234928500001,51.75234928500001
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A076,157.33101136,157.33101136,42.331937875,42.331937875,53.44101709500001,53.44101709500001
no_suit,female,middle,avg,20,neutral_stoop_down_R_001__A077,180.05105831999998,180.05105831999998,54.148973475,54.148973475,57.88354231,57.88354231
no_suit,female,middle,avg,20,neutral_stoop_down_R_001__A078,123.47075867000001,123.47075867000001,36.673412285,36.673412285,51.998638715000006,51.998638715000006
no_suit,female,middle,avg,20,neutral_stoop_down_R_001__A080,129.31798068,129.31798068,44.248398105,44.248398105,53.034685870000004,53.034685870000004
no_suit,female,middle,avg,20,neutral_stoop_down_R_001__A081,124.2498224,124.2498224,36.596799634999996,36.596799634999996,51.693497225,51.693497225
no_suit,female,middle,avg,20,neutral_stoop_down_R_002__A082,105.58610534,105.58610534,42.48114329,42.48114329,53.070322365,53.070322365
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A073,233.49694004999998,233.49694004999998,59.96428641,59.96428641,77.755395855,77.755395855
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A079,130.3749,130.3749,56.74046115,56.74046115,77.23916674,77.23916674
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A074,175.19255311,175.19255311,55.70621565500001,55.70621565500001,77.412731615,77.412731615
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A075,213.24766891000002,213.24766891000002,52.368004495,52.368004495,76.277349285,76.277349285
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A076,200.78931136,200.78931136,57.046937875000005,57.046937875000005,77.966017095,77.966017095
no_suit,female,middle,avg,30,neutral_stoop_down_R_001__A077,223.50935832,223.50935832,68.863973475,68.863973475,82.40854231,82.40854231
no_suit,female,middle,avg,30,neutral_stoop_down_R_001__A078,166.92905867,166.92905867,51.388412285,51.388412285,76.523638715,76.523638715
no_suit,female,middle,avg,30,neutral_stoop_down_R_001__A080,172.77628068,172.77628068,58.963398105,58.963398105,77.55968587000001,77.55968587000001
no_suit,female,middle,avg,30,neutral_stoop_down_R_001__A081,167.70812239999998,167.70812239999998,51.311799635,51.311799635,76.21849722500001,76.21849722500001
no_suit,female,middle,avg,30,neutral_stoop_down_R_002__A082,149.04440534,149.04440534,57.19614329,57.19614329,77.595322365,77.595322365
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A073,152.05932264,152.05932264,32.40199108,32.40199108,29.187413915,29.187413915
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A079,43.4583,43.4583,28.779721665,28.779721665,28.605337745000003,28.605337745000003
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A074,91.72742766,91.72742766,27.617861835,27.617861835,28.806991250000003,28.806991250000003
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A075,128.4916401,128.4916401,23.87933719,23.87933719,27.550477545000003,27.550477545000003
no_suit,female,middle,heavy,10,neutral_stoop_down_R_002__A076,118.13540320000001,118.13540320000001,29.109624625000002,29.109624625000002,29.428483905,29.428483905
no_suit,female,middle,heavy,10,neutral_stoop_down_R_001__A077,142.50540638,142.50540638,42.283707355000004,42.283707355000004,34.380089615,34.380089615
no_suit,female,middle,heavy,10,neutral_stoop_down_R_001__A078,81.10904912000001,81.10904912000001,22.80993414,22.80993414,27.814514100000004,27.814514100000004
no_suit,female,middle,heavy,10,neutral_stoop_down_R_001__A080,87.152673,87.152673,31.23234181,31.23234181,28.957715970000002,28.957715970000002
no_suit,female,middle,heavy,10,neutral_stoop_down_R_001__A081,79.26392084,79.26392084,22.713438615,22.713438615,27.4833138,27.4833138
