sex,age,body_type,load_kg,suit_force_n,lumbar_peak_mean,lumbar_peak_std,lumbar_mean_mean,lumbar_mean_std,lumbar_ext_peak_mean,lumbar_ext_peak_std,lumbar_ext_mean_mean,lumbar_ext_mean_std,lumbar_ext_loaded_peak_mean,lumbar_ext_loaded_peak_std,lumbar_ext_loaded_mean_mean,lumbar_ext_loaded_mean_std,lumbar_bio_ext_peak_mean,lumbar_bio_ext_peak_std,lumbar_bio_ext_mean_mean,lumbar_bio_ext_mean_std,hip_r_peak_mean,hip_r_peak_std,hip_r_mean_mean,hip_r_mean_std,hip_l_peak_mean,hip_l_peak_std,hip_l_mean_mean,hip_l_mean_std,knee_r_peak_mean,knee_r_peak_std,knee_r_mean_mean,knee_r_mean_std,shoulder_r_peak_mean,shoulder_r_peak_std,shoulder_r_mean_mean,shoulder_r_mean_std,shoulder_l_peak_mean,shoulder_l_peak_std,shoulder_l_mean_mean,shoulder_l_mean_std,elbow_r_peak_mean,elbow_r_peak_std,elbow_r_mean_mean,elbow_r_mean_std,elbow_l_peak_mean,elbow_l_peak_std,elbow_l_mean_mean,elbow_l_mean_std
female,middle,avg,30,0,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,30,50,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,176.892258059,34.55220776490049,53.89527114051997,11.631409292378455,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,30,100,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,171.142258059,34.55220776490049,50.222093954150075,11.11562838340619,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,30,150,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,165.392258059,34.55220776490049,47.70710269421018,10.633069738889981,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,30,200,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,182.642258059,34.55220776490049,57.559417510669505,11.832345853037367,159.642258059,34.55220776490049,47.4948699881392,9.675769121079759,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,heavy,10,0,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,10,50,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,92.65447085400001,36.30999254441625,46.36577530703214,21.962631052745937,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,10,100,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,86.90447085400001,36.30999254441625,44.207369028784555,23.067621370032125,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,10,150,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,81.15447085400001,36.30999254441625,41.45266567283842,22.64649157832777,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,10,200,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,98.40447085400001,36.30999254441625,48.89446911895378,20.744389687212763,75.40447085400001,36.30999254441625,39.97658578399229,22.19053701693372,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,20,0,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,141.862770854,36.30999254441624,48.50524461142468,13.861745686247174,141.862770854,36.30999254441624,48.50524461142468,13.861745686247174,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,20,50,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,141.862770854,36.30999254441624,48.50524461142468,13.861745686247174,136.112770854,36.30999254441624,49.66441831076084,15.145284184147421,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
female,middle,heavy,20,100,189.05536230299998,27.58555993152076,87.52316219494361,7.79200828614104,55.795475550000006,34.726029585853915,28.894791837803137,19.209310529128317,141.862770854,36.30999254441624,48.50524461142468,13.861745686247174,130.362770854,36.30999254441625,49.886586988479216,16.49234360336685,2779.923290638,1891.8635013566584,598.253220813151,123.26103394289153,2714.9534228429998,1410.9954264282198,1000.8618382037359,49.717437973902,2382.983855262,1885.3399388092478,325.7666477548861,41.556037574942714,13.966897838,7.948212270031924,3.3000014140086917,1.0390249720938636,14.619660561,5.3839537891639795,3.8663012118476088,1.3420579687720813,4.4706392,3.464287107475126,1.0751553571340227,0.30063699760210133,4.724492905,1.2282396929701764,1.0538232804590286,0.15105660669014268
